name,class,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue
beta-Alanine,Organic acids,1.321315111,0.016727781,0.028904429,1.688916425,0.063426431,1,0.756097939,0.016727781
L-Asparagine,Organic acids,1.304818578,0.016770465,0.009324009,1.594734379,0.063426431,1,0.673316147,0.016770465
N-Carbamoylglutamic acid,Organic acids,1.17840639,0.02041511,0.020512821,1.499529607,0.071481802,1,0.584510007,0.02041511
L-Gulonate,Organic acids,1.052984349,0.020950761,0.054079254,1.527234912,0.071930946,1,0.610921988,0.020950761
DL-Leucine,Organic acids,1.472989527,0.021131238,0.001243201,1.998875625,0.07214975,1,0.999188706,0.021131238
N-Acetyl-DL-serine,Organic acids,1.288628469,0.021614392,0.002175602,1.702385906,0.073192846,1,0.767558112,0.021614392
L-Methionine,Organic acids,1.246013789,0.022816038,0.020512821,1.296334786,0.075001657,1,0.374438351,0.022816038
2-(Methylamino)pentanedioic acid,Organic acids,1.556142261,0.024274938,0.0003108,1.974792628,0.077983356,0.384149184,0.981701165,0.024274938
L-Valine,Organic acids,0.989478158,0.024902626,0.020512821,1.157980457,0.078756155,1,0.211610906,0.024902626
L-Aspartate,Organic acids,1.350256434,0.026023185,0.020512821,1.377976222,0.080613174,1,0.462550993,0.026023185
DL-Aspartic acid,Organic acids,1.24840418,0.026178956,0.093861694,1.094605445,0.080892975,1,0.130410938,0.026178956
Ethanolamine phosphate,Organic acids,1.124801729,0.027557189,0.028904429,1.250998389,0.083074842,1,0.323079932,0.027557189
Glycylglycine,Organic acids,1.148323368,0.030871724,0.028904429,1.398946339,0.089993989,1,0.484340625,0.030871724
